n_features,features,test_acc,test_auc,test_f1,test_acc_0,test_acc_1,confusion_matrix
28,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53']",0.6736842105263158,0.6189538461538461,0.7862068965517242,0.2153846153846154,0.912,"[[14, 51], [11, 114]]"
46,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51', 'Feature35', 'Feature29', 'Feature54', 'Feature14', 'Feature20', 'Feature8', 'Feature28', 'Feature45', 'Feature15', 'Feature50', 'Feature7']",0.6736842105263158,0.6173538461538461,0.7862068965517242,0.2153846153846154,0.912,"[[14, 51], [11, 114]]"
40,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51', 'Feature35', 'Feature29', 'Feature54', 'Feature14', 'Feature20']",0.6842105263157895,0.6169846153846154,0.7931034482758621,0.23076923076923078,0.92,"[[15, 50], [10, 115]]"
24,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62']",0.6842105263157895,0.6164923076923078,0.7887323943661971,0.27692307692307694,0.896,"[[18, 47], [13, 112]]"
27,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3']",0.6894736842105263,0.6150153846153846,0.7958477508650519,0.24615384615384617,0.92,"[[16, 49], [10, 115]]"
29,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30']",0.6684210526315789,0.6148923076923077,0.7820069204152249,0.2153846153846154,0.904,"[[14, 51], [12, 113]]"
53,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51', 'Feature35', 'Feature29', 'Feature54', 'Feature14', 'Feature20', 'Feature8', 'Feature28', 'Feature45', 'Feature15', 'Feature50', 'Feature7', 'Feature38', 'Feature16', 'Feature19', 'Feature24', 'Feature11', 'Feature9', 'Feature31']",0.6578947368421053,0.6144615384615384,0.7735191637630662,0.2153846153846154,0.888,"[[14, 51], [14, 111]]"
38,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51', 'Feature35', 'Feature29', 'Feature54']",0.6947368421052632,0.6136615384615384,0.7943262411347518,0.3076923076923077,0.896,"[[20, 45], [13, 112]]"
56,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51', 'Feature35', 'Feature29', 'Feature54', 'Feature14', 'Feature20', 'Feature8', 'Feature28', 'Feature45', 'Feature15', 'Feature50', 'Feature7', 'Feature38', 'Feature16', 'Feature19', 'Feature24', 'Feature11', 'Feature9', 'Feature31', 'Feature37', 'Feature10', 'Feature1']",0.6684210526315789,0.6135384615384616,0.7820069204152249,0.2153846153846154,0.904,"[[14, 51], [12, 113]]"
5,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61']",0.7052631578947368,0.6135384615384616,0.8068965517241379,0.26153846153846155,0.936,"[[17, 48], [8, 117]]"
