feature_type,n_features,source_auc,source_accuracy,source_f1,target_baseline_auc,target_tca_auc,target_sa_auc,target_coral_auc,target_kmm_auc,tca_improvement,sa_improvement,coral_improvement,kmm_improvement
best28,28,0.8220520999468368,0.7590804597701151,0.8237278831676773,0.6347076923076923,0.6430769230769231,0.590276923076923,0.6662153846153845,0.5569230769230769,0.008369230769230795,-0.044430769230769274,0.03150769230769224,-0.07778461538461545
best29,29,0.8232695374800636,0.7525287356321839,0.8184918445263369,0.6304000000000001,0.6617846153846154,0.5867076923076922,0.6771692307692307,0.6395076923076923,0.031384615384615344,-0.04369230769230792,0.046769230769230674,0.009107692307692261
best30,30,0.8287772461456673,0.7626436781609196,0.826133933543098,0.6348307692307692,0.6496,0.5875692307692307,0.6748307692307692,0.6430769230769231,0.014769230769230757,-0.047261538461538466,0.040000000000000036,0.008246153846153903
best31,31,0.826214779372674,0.7557471264367817,0.8193689051734483,0.6276923076923078,0.6529230769230769,0.5823999999999999,0.678276923076923,0.6194461538461538,0.025230769230769168,-0.045292307692307854,0.05058461538461523,-0.008246153846154014
best32,32,0.8251408825093035,0.7525287356321839,0.8182553715427522,0.6363076923076922,0.6502153846153846,0.5728000000000001,0.6760615384615384,0.6412307692307693,0.013907692307692399,-0.06350769230769215,0.03975384615384614,0.00492307692307703
best33,33,0.8275810738968634,0.745632183908046,0.813797231707038,0.6403692307692308,0.6601846153846154,0.5812923076923077,0.643076923076923,0.6374153846153846,0.019815384615384568,-0.05907692307692314,0.002707692307692189,-0.0029538461538461958
best34,34,0.8258107389686338,0.7489655172413794,0.8167861099284744,0.6406153846153847,0.6687999999999998,0.6048,0.6471384615384614,0.540676923076923,0.02818461538461514,-0.03581538461538469,0.006523076923076743,-0.09993846153846164
best35,35,0.822482721956406,0.749080459770115,0.8146262943706712,0.6349538461538461,0.6685538461538462,0.5921230769230769,0.6559999999999999,0.5812923076923076,0.033600000000000074,-0.04283076923076923,0.021046153846153826,-0.05366153846153854
best36,36,0.8213822434875067,0.7389655172413794,0.80689922967955,0.6396307692307692,0.6702769230769231,0.6121846153846153,0.6134153846153846,0.5806769230769231,0.03064615384615388,-0.027446153846153898,-0.02621538461538464,-0.058953846153846134
best37,37,0.8192503987240828,0.7424137931034483,0.8126135153938359,0.6411076923076922,0.6798769230769229,0.604923076923077,0.6187076923076924,0.5180307692307692,0.03876923076923078,-0.03618461538461515,-0.022399999999999753,-0.12307692307692297
best38,38,0.826241360978203,0.7457471264367816,0.8136189554429215,0.6454153846153845,0.6269538461538461,0.6014769230769229,0.6256,0.5491692307692307,-0.018461538461538418,-0.04393846153846159,-0.019815384615384457,-0.09624615384615376
best39,39,0.8222913343965976,0.7354022988505747,0.80658594647153,0.6354461538461539,0.6306461538461539,0.5950769230769231,0.6431999999999999,0.5629538461538461,-0.0048000000000000265,-0.040369230769230824,0.007753846153846,-0.07249230769230774
best40,40,0.8216905901116427,0.7388505747126437,0.8074651092890754,0.6344615384615384,0.6302769230769231,0.5927384615384614,0.6408615384615385,0.5846153846153846,-0.004184615384615342,-0.041723076923076974,0.006400000000000072,-0.04984615384615376
best41,41,0.8214726209463052,0.7354022988505747,0.8052774617431089,0.6360615384615386,0.6587076923076923,0.5751384615384616,0.6587076923076923,0.6568615384615384,0.02264615384615376,-0.06092307692307697,0.02264615384615376,0.02079999999999982
best42,42,0.8222169059011163,0.7389655172413794,0.8092409658210296,0.6331076923076923,0.6552615384615385,0.5718153846153846,0.6721230769230769,0.6107076923076923,0.02215384615384619,-0.061292307692307646,0.039015384615384674,-0.022399999999999975
best43,43,0.8181499202551834,0.7388505747126437,0.8095790459099049,0.633353846153846,0.6516923076923077,0.5703384615384615,0.6558769230769231,0.5593846153846154,0.018338461538461637,-0.06301538461538458,0.02252307692307709,-0.07396923076923068
best44,44,0.8159489633173843,0.7355172413793103,0.8079158810240903,0.623876923076923,0.6336,0.5645538461538461,0.6652307692307692,0.5505230769230769,0.009723076923077056,-0.05932307692307692,0.041353846153846185,-0.0733538461538461
best45,45,0.8201541733120681,0.7356321839080461,0.8075764108637916,0.6286769230769231,0.6472615384615384,0.5702153846153846,0.6518153846153846,0.0,0.01858461538461531,-0.058461538461538565,0.02313846153846144,0.0
best46,46,0.8153003721424774,0.7252873563218392,0.798734985641822,0.6371692307692308,0.6532923076923077,0.5774769230769231,0.6556307692307691,0.0,0.016123076923076907,-0.05969230769230771,0.018461538461538307,0.0
best47,47,0.8112333864965443,0.732183908045977,0.8053071853719164,0.6311384615384614,0.6502153846153845,0.5837538461538462,0.6444307692307693,0.0,0.019076923076923102,-0.04738461538461525,0.013292307692307825,0.0
best48,48,0.8096278575225944,0.7355172413793103,0.8079158810240903,0.6316307692307692,0.6509538461538461,0.5757538461538462,0.6627692307692308,0.0,0.019323076923076887,-0.055876923076923046,0.03113846153846156,0.0
best49,49,0.8092397660818713,0.7319540229885058,0.8059895262868155,0.6299076923076923,0.6550153846153846,0.5921230769230769,0.6631384615384616,0.0,0.025107692307692275,-0.037784615384615416,0.033230769230769286,0.0
best50,50,0.8103668261563,0.7320689655172414,0.8026834775043061,0.6348307692307691,0.6537846153846153,0.6162461538461539,0.6573538461538463,0.0,0.01895384615384621,-0.0185846153846152,0.0225230769230772,0.0
best51,51,0.8057256778309411,0.7251724137931035,0.7972780720989008,0.6385230769230769,0.6461538461538461,0.6358153846153846,0.6628923076923076,0.0,0.007630769230769219,-0.0027076923076923,0.0243692307692307,0.0
best52,52,0.8036204146730462,0.7219540229885058,0.796144791377252,0.6435692307692307,0.6403692307692308,0.6445538461538463,0.6644923076923077,0.0,-0.0031999999999998696,0.0009846153846155836,0.020923076923077044,0.0
best53,53,0.8078309409888357,0.7254022988505746,0.7992634409263748,0.6319999999999999,0.6386461538461538,0.6505846153846154,0.6683076923076923,0.0,0.006646153846153857,0.018584615384615533,0.036307692307692374,0.0
best54,54,0.8035034556087188,0.7254022988505747,0.8003228201436489,0.6340923076923075,0.6455384615384615,0.6420923076923076,0.6567384615384615,0.0,0.011446153846153995,0.008000000000000118,0.022646153846153982,0.0
best55,55,0.8056034024455077,0.7252873563218392,0.8000507751155063,0.6356923076923077,0.6472615384615384,0.6724923076923077,0.6508307692307693,0.0,0.011569230769230776,0.036800000000000055,0.015138461538461656,0.0
best56,56,0.8009622541201489,0.7151724137931035,0.7910718079978999,0.6332307692307692,0.6530461538461539,0.6545230769230769,0.6460307692307693,0.0,0.01981538461538479,0.02129230769230772,0.012800000000000145,0.0
best57,57,0.8015576820839978,0.7286206896551725,0.8029728310696962,0.6354461538461539,0.6496,0.6468923076923078,0.6478769230769231,0.0,0.014153846153846072,0.011446153846153884,0.012430769230769245,0.0
best58,58,0.8065124933545986,0.7185057471264369,0.7940618412204912,0.6336,0.6439384615384616,0.6425846153846153,0.6520615384615385,0.0,0.010338461538461519,0.008984615384615258,0.018461538461538418,0.0
