n_features,features,mean_accuracy,mean_auc,mean_f1,mean_acc_0,mean_acc_1,mean_time,std_accuracy,std_auc,std_f1,std_acc_0,std_acc_1,std_time
13,"Feature63, Feature2, Feature46, Feature56, Feature61, Feature42, Feature43, Feature5, Feature49, Feature32, Feature57, Feature22, Feature27",0.7358620689655173,0.8356625074272133,0.7982681012319051,0.5672463647463648,0.8254466268165958,16.863468503952028,0.04546205873600303,0.052640966945941184,0.038291402554224925,0.15649981234769053,0.07360177715034753,0.06655920342508044
14,"Feature63, Feature2, Feature46, Feature56, Feature61, Feature42, Feature43, Feature5, Feature49, Feature32, Feature57, Feature22, Feature27, Feature47",0.7290804597701149,0.8348274393305353,0.791985507829193,0.5706651681651682,0.8131865258064949,16.706596755981444,0.052404339740356166,0.05629395549312522,0.04266907923079727,0.16635283766676126,0.056667257405397166,0.072822062713374
15,"Feature63, Feature2, Feature46, Feature56, Feature61, Feature42, Feature43, Feature5, Feature49, Feature32, Feature57, Feature22, Feature27, Feature47, Feature55",0.7427586206896551,0.8321620862224577,0.8042199538763501,0.5806651681651682,0.8311661339176819,16.843493366241454,0.06783907656473345,0.055569335633420834,0.051630298268485475,0.1707628860041914,0.0680564849259044,0.07417928721533963
16,"Feature63, Feature2, Feature46, Feature56, Feature61, Feature42, Feature43, Feature5, Feature49, Feature32, Feature57, Feature22, Feature27, Feature47, Feature55, Feature60",0.7327586206896551,0.828217598248558,0.7964048453438813,0.5646395271395271,0.8254933344948825,16.90966103076935,0.06049352232999457,0.0576884307699263,0.04953398397572958,0.16015454409796182,0.06821546559058389,0.0665783972022521
17,"Feature63, Feature2, Feature46, Feature56, Feature61, Feature42, Feature43, Feature5, Feature49, Feature32, Feature57, Feature22, Feature27, Feature47, Feature55, Feature60, Feature29",0.7395402298850575,0.8291852542309199,0.8010307421007152,0.5716908091908091,0.8300387890403369,16.986488890647887,0.04954329670215056,0.057403595441454576,0.04419247350462229,0.14636054473668303,0.0628202638314483,0.0628473308541127
18,"Feature63, Feature2, Feature46, Feature56, Feature61, Feature42, Feature43, Feature5, Feature49, Feature32, Feature57, Feature22, Feature27, Feature47, Feature55, Feature60, Feature29, Feature17",0.7326436781609196,0.8258965086627625,0.7951349519687249,0.5716908091908091,0.8202301766001456,17.432720017433166,0.043657587411184355,0.05783099736031168,0.03881417412088421,0.14636054473668303,0.06460478463308132,0.08350049730553516
19,"Feature63, Feature2, Feature46, Feature56, Feature61, Feature42, Feature43, Feature5, Feature49, Feature32, Feature57, Feature22, Feature27, Feature47, Feature55, Feature60, Feature29, Feature17, Feature62",0.7394252873563218,0.8204697692801408,0.800497529853699,0.5716908091908091,0.8300387890403371,17.507239937782288,0.052285712635530376,0.060292746367028416,0.046581915384280845,0.14636054473668303,0.07482832424848392,0.07679362025275512
20,"Feature63, Feature2, Feature46, Feature56, Feature61, Feature42, Feature43, Feature5, Feature49, Feature32, Feature57, Feature22, Feature27, Feature47, Feature55, Feature60, Feature29, Feature17, Feature62, Feature44",0.7358620689655172,0.8211455232647185,0.7975286253315212,0.5723318348318348,0.8249920813620504,17.95067114830017,0.05450942652056621,0.06406785119330603,0.04701393979298284,0.15301117665466502,0.07673653232107369,0.08414828887351564
21,"Feature63, Feature2, Feature46, Feature56, Feature61, Feature42, Feature43, Feature5, Feature49, Feature32, Feature57, Feature22, Feature27, Feature47, Feature55, Feature60, Feature29, Feature17, Feature62, Feature44, Feature48",0.7462068965517241,0.8198903182301016,0.8065013385404345,0.5723318348318348,0.8393461483476964,18.0915408372879,0.056711763082028334,0.06315309139563288,0.050033035159600836,0.15301117665466502,0.06605215886504413,0.08140669118610831
22,"Feature63, Feature2, Feature46, Feature56, Feature61, Feature42, Feature43, Feature5, Feature49, Feature32, Feature57, Feature22, Feature27, Feature47, Feature55, Feature60, Feature29, Feature17, Feature62, Feature44, Feature48, Feature1",0.7394252873563218,0.8167841281239114,0.8016000609562302,0.5612207237207236,0.8348006938022419,18.137876105308532,0.05637588305516557,0.0648155736362461,0.04879298636592588,0.14975714238735535,0.07179459760984817,0.06553147529175785
23,"Feature63, Feature2, Feature46, Feature56, Feature61, Feature42, Feature43, Feature5, Feature49, Feature32, Feature57, Feature22, Feature27, Feature47, Feature55, Feature60, Feature29, Feature17, Feature62, Feature44, Feature48, Feature1, Feature52",0.7260919540229885,0.8160078913461266,0.7907044238796602,0.5556651681651682,0.8192200755900446,18.304680132865904,0.05791335709127204,0.06414243618139572,0.05129211535244582,0.1508904429934206,0.06568589679743264,0.08097435183502766
24,"Feature63, Feature2, Feature46, Feature56, Feature61, Feature42, Feature43, Feature5, Feature49, Feature32, Feature57, Feature22, Feature27, Feature47, Feature55, Feature60, Feature29, Feature17, Feature62, Feature44, Feature48, Feature1, Feature52, Feature25",0.7227586206896552,0.8123194811724224,0.7907030360990682,0.533442945942946,0.8258960793248719,18.487707805633544,0.056422148534861744,0.06824831940826537,0.044740087956363396,0.14926141597142653,0.06307337689202144,0.22619683045071695
25,"Feature63, Feature2, Feature46, Feature56, Feature61, Feature42, Feature43, Feature5, Feature49, Feature32, Feature57, Feature22, Feature27, Feature47, Feature55, Feature60, Feature29, Feature17, Feature62, Feature44, Feature48, Feature1, Feature52, Feature25, Feature38",0.7228735632183908,0.8106174637482686,0.7913884624584356,0.5251096126096126,0.8300387890403369,18.49673435688019,0.06536471457103267,0.07055607394637901,0.05341334005654248,0.1531709918038584,0.0628202638314483,0.06368444746984842
26,"Feature63, Feature2, Feature46, Feature56, Feature61, Feature42, Feature43, Feature5, Feature49, Feature32, Feature57, Feature22, Feature27, Feature47, Feature55, Feature60, Feature29, Feature17, Feature62, Feature44, Feature48, Feature1, Feature52, Feature25, Feature38, Feature58",0.7262068965517242,0.8110297731737359,0.7937820794797121,0.5251096126096126,0.8345842435857914,18.67325837612152,0.06829714440546601,0.06895122889355804,0.056482116355312334,0.1531709918038584,0.06964906028008774,0.09474683882170196
27,"Feature63, Feature2, Feature46, Feature56, Feature61, Feature42, Feature43, Feature5, Feature49, Feature32, Feature57, Feature22, Feature27, Feature47, Feature55, Feature60, Feature29, Feature17, Feature62, Feature44, Feature48, Feature1, Feature52, Feature25, Feature38, Feature58, Feature54",0.715977011494253,0.8095351969438657,0.7853733845161391,0.517417304917305,0.8252768842784322,18.76948161125183,0.06797652948802715,0.07106179837655248,0.057005460644674134,0.14226098202603527,0.08032593129879412,0.06591350724178442
