experiment_type,model_name,center,fold,train_size,val_size,source_center,target_center,source_size,target_size,accuracy,auc,sensitivity,specificity,precision,negative_predictive_value
single_center,Random_Forest,Hungarian,0.0,196,98,Hungarian,Hungarian,196,98,0.8061224489795918,0.8625850340136055,0.6857142857142857,0.873015873015873,0.75,0.8333333333333334
single_center,XGBoost,Hungarian,0.0,196,98,Hungarian,Hungarian,196,98,0.7755102040816326,0.8349206349206348,0.6,0.873015873015873,0.7241379310344828,0.7971014492753623
single_center,SVM,Hungarian,0.0,196,98,Hungarian,Hungarian,196,98,0.826530612244898,0.8775510204081634,0.7428571428571429,0.873015873015873,0.7647058823529411,0.859375
single_center,KNN,Hungarian,0.0,196,98,Hungarian,Hungarian,196,98,0.8469387755102041,0.844671201814059,0.6857142857142857,0.9365079365079365,0.8571428571428571,0.8428571428571429
single_center,PANDA_TabPFN_TCA,Hungarian,1.0,196,98,Hungarian,Hungarian,196,98,0.8367346938775511,0.9124716553287981,0.7142857142857143,0.9047619047619048,0.8064516129032258,0.8507462686567164
single_center,TabPFN_Only,Hungarian,1.0,196,98,Hungarian,Hungarian,196,98,0.8163265306122449,0.8934240362811792,0.6571428571428571,0.9047619047619048,0.7931034482758621,0.8260869565217391
single_center,LASSO_LR,Hungarian,1.0,196,98,Hungarian,Hungarian,196,98,0.8061224489795918,0.8517006802721089,0.7428571428571429,0.8412698412698413,0.7222222222222222,0.8548387096774194
single_center,Random_Forest,Hungarian,1.0,196,98,Hungarian,Hungarian,196,98,0.8061224489795918,0.9056689342403628,0.6571428571428571,0.8888888888888888,0.7666666666666667,0.8235294117647058
single_center,XGBoost,Hungarian,1.0,196,98,Hungarian,Hungarian,196,98,0.7857142857142857,0.8480725623582767,0.6,0.8888888888888888,0.75,0.8
single_center,SVM,Hungarian,1.0,196,98,Hungarian,Hungarian,196,98,0.8163265306122449,0.8693877551020409,0.7142857142857143,0.873015873015873,0.7575757575757576,0.8461538461538461
single_center,KNN,Hungarian,1.0,196,98,Hungarian,Hungarian,196,98,0.7755102040816326,0.8698412698412699,0.5428571428571428,0.9047619047619048,0.76,0.7808219178082192
single_center,PANDA_TabPFN_TCA,Hungarian,2.0,196,98,Hungarian,Hungarian,196,98,0.8163265306122449,0.8723118279569892,0.7222222222222222,0.8709677419354839,0.7647058823529411,0.84375
single_center,TabPFN_Only,Hungarian,2.0,196,98,Hungarian,Hungarian,196,98,0.826530612244898,0.889336917562724,0.75,0.8709677419354839,0.7714285714285715,0.8571428571428571
single_center,LASSO_LR,Hungarian,2.0,196,98,Hungarian,Hungarian,196,98,0.7959183673469388,0.8508064516129032,0.8333333333333334,0.7741935483870968,0.6818181818181818,0.8888888888888888
single_center,Random_Forest,Hungarian,2.0,196,98,Hungarian,Hungarian,196,98,0.8061224489795918,0.8799283154121863,0.7777777777777778,0.8225806451612904,0.717948717948718,0.864406779661017
single_center,XGBoost,Hungarian,2.0,196,98,Hungarian,Hungarian,196,98,0.826530612244898,0.878136200716846,0.7777777777777778,0.8548387096774194,0.7567567567567568,0.8688524590163934
single_center,SVM,Hungarian,2.0,196,98,Hungarian,Hungarian,196,98,0.8163265306122449,0.8633512544802867,0.8055555555555556,0.8225806451612904,0.725,0.8793103448275862
