feature_type,n_features,source_auc,source_accuracy,source_f1,target_baseline_auc,target_tca_auc,tca_improvement
best49,49,0.8092397660818713,0.7319540229885058,0.8059895262868155,0.6299076923076923,0.6550153846153846,0.025107692307692275
best50,50,0.8103668261563,0.7320689655172414,0.8026834775043061,0.6348307692307691,0.6537846153846153,0.01895384615384621
best51,51,0.8057256778309411,0.7251724137931035,0.7972780720989008,0.6385230769230769,0.6461538461538461,0.007630769230769219
best52,52,0.8036204146730462,0.7219540229885058,0.796144791377252,0.6435692307692307,0.6403692307692308,-0.0031999999999998696
best53,53,0.8078309409888357,0.7254022988505746,0.7992634409263748,0.6319999999999999,0.6386461538461538,0.006646153846153857
best54,54,0.8035034556087188,0.7254022988505747,0.8003228201436489,0.6340923076923075,0.6455384615384615,0.011446153846153995
best55,55,0.8056034024455077,0.7252873563218392,0.8000507751155063,0.6356923076923077,0.6472615384615384,0.011569230769230776
best56,56,0.8009622541201489,0.7151724137931035,0.7910718079978999,0.6332307692307692,0.6530461538461539,0.01981538461538479
best57,57,0.8015576820839978,0.7286206896551725,0.8029728310696962,0.6354461538461539,0.6496,0.014153846153846072
best58,58,0.8065124933545986,0.7185057471264369,0.7940618412204912,0.6336,0.6439384615384616,0.010338461538461519
